chr1	181437	181450	-
chr1	181475	181488	+
chr1	181478	181491	+
chr1	268000	268013	-
chr1	268001	268014	+
chr1	268011	268024	+
chr1	631401	631414	-
chr1	631458	631471	-
chr1	631736	631749	+
chr1	632432	632445	-
chr1	633014	633027	+
chr1	633774	633787	-
chr1	633879	633892	+
chr1	634722	634735	-
chr1	778703	778716	-
chr1	778801	778814	-
chr1	778804	778817	-
chr1	778893	778906	+
chr1	804916	804929	+
chr1	804918	804931	-
chr1	819093	819106	-
chr1	827465	827478	+
chr1	827595	827608	+
chr1	869840	869853	-
chr1	869844	869857	+
chr1	869869	869882	-
chr1	869893	869906	-
chr1	869919	869932	-
chr1	869920	869933	+
chr1	933143	933156	+
chr1	933209	933222	+
chr1	933366	933379	+
chr1	933387	933400	-
chr1	933388	933401	+
chr1	959396	959409	+
chr1	976048	976061	-
chr1	976088	976101	+
chr1	976211	976224	-
chr1	976215	976228	+
chr1	976313	976326	-
chr1	976473	976486	-
chr1	1000132	1000145	+
chr1	1000244	1000257	-
chr1	1000285	1000298	-
chr1	1000762	1000775	+
chr1	1000833	1000846	+
chr1	1000918	1000931	-
chr1	1000938	1000951	-
chr1	1005355	1005368	+
chr1	1005461	1005474	+
chr1	1040757	1040770	-
chr1	1040795	1040808	-
chr1	1040818	1040831	+
chr1	1068848	1068861	-
chr1	1068880	1068893	-
chr1	1068972	1068985	-
chr1	1069350	1069363	+
chr1	1069353	1069366	+
chr1	1069437	1069450	+
chr1	1074010	1074023	-
chr1	1074089	1074102	-
chr1	1074178	1074191	+
chr1	1074234	1074247	+
chr1	1074409	1074422	+
chr1	1074447	1074460	+
chr1	1079502	1079515	-
chr1	1079506	1079519	+
chr1	1079523	1079536	-
chr1	1079552	1079565	-
chr1	1079671	1079684	-
chr1	1079805	1079818	+
chr1	1079930	1079943	-
chr1	1079947	1079960	-
chr1	1080283	1080296	-
chr1	1116094	1116107	-
chr1	1116098	1116111	+
chr1	1116115	1116128	-
chr1	1116214	1116227	-
chr1	1116217	1116230	-
chr1	1116258	1116271	+
chr1	1116381	1116394	+
chr1	1132641	1132654	-
chr1	1132642	1132655	+
chr1	1132768	1132781	-
chr1	1132849	1132862	+
chr1	1154088	1154101	-
chr1	1162776	1162789	+
chr1	1162820	1162833	+
chr1	1162878	1162891	-
chr1	1162906	1162919	-
chr1	1230868	1230881	-
chr1	1230871	1230884	-
chr1	1231944	1231957	-
chr1	1231984	1231997	+
chr1	1232045	1232058	-
chr1	1232212	1232225	-
chr1	1237745	1237758	-
chr1	1240964	1240977	-
chr1	1272768	1272781	+
chr1	1274030	1274043	+
chr1	1281889	1281902	+
chr1	1281899	1281912	+
chr1	1281956	1281969	-
chr1	1308002	1308015	-
chr1	1308003	1308016	+
chr1	1308054	1308067	-
chr1	1308055	1308068	+
chr1	1308068	1308081	+
chr1	1308160	1308173	+
chr1	1308282	1308295	+
chr1	1308357	1308370	+
chr1	1308534	1308547	+
chr1	1308623	1308636	-
chr1	1308680	1308693	-
chr1	1324760	1324773	+
chr1	1324771	1324784	+
chr1	1332978	1332991	+
chr1	1344130	1344143	-
chr1	1344172	1344185	-
chr1	1344173	1344186	+
chr1	1344328	1344341	-
chr1	1375116	1375129	-
chr1	1375218	1375231	-
chr1	1375235	1375248	-
chr1	1375236	1375249	+
chr1	1375259	1375272	+
chr1	1375261	1375274	-
chr1	1375475	1375488	+
chr1	1399301	1399314	-
chr1	1399370	1399383	-
chr1	1399381	1399394	-
chr1	1399423	1399436	-
chr1	1399482	1399495	+
chr1	1402162	1402175	-
chr1	1402245	1402258	-
chr1	1407217	1407230	-
chr1	1433242	1433255	+
chr1	1433263	1433276	-
chr1	1433314	1433327	+
chr1	1433375	1433388	-
chr1	1433541	1433554	+
chr1	1435668	1435681	+
chr1	1435680	1435693	-
chr1	1471607	1471620	-
chr1	1471614	1471627	-
chr1	1471741	1471754	-
chr1	1471787	1471800	-
chr1	1504799	1504812	-
chr1	1504831	1504844	-
chr1	1505080	1505093	-
chr1	1505106	1505119	-
chr1	1506010	1506023	+
chr1	1511043	1511056	-
chr1	1511062	1511075	-
chr1	1511255	1511268	+
chr1	1511264	1511277	-
chr1	1511691	1511704	+
chr1	1511848	1511861	-
chr1	1511849	1511862	+
chr1	1511851	1511864	-
chr1	1543908	1543921	-
chr1	1543994	1544007	+
chr1	1559303	1559316	+
chr1	1573980	1573993	+
chr1	1574807	1574820	-
chr1	1574867	1574880	+
chr1	1574893	1574906	-
chr1	1574903	1574916	-
chr1	1574944	1574957	+
chr1	1610148	1610161	+
chr1	1610161	1610174	-
chr1	1610324	1610337	-
chr1	1610381	1610394	+
chr1	1610405	1610418	-
chr1	1610408	1610421	-
chr1	1659145	1659158	+
chr1	1659228	1659241	-
chr1	1671035	1671048	-
chr1	1671107	1671120	+
chr1	1671130	1671143	-
chr1	1671171	1671184	+
chr1	1679074	1679087	-
chr1	1692513	1692526	+
chr1	1692865	1692878	-
chr1	1692957	1692970	-
chr1	1692958	1692971	+
chr1	1692994	1693007	+
chr1	1693146	1693159	+
chr1	1693232	1693245	+
chr1	1759002	1759015	+
chr1	1759065	1759078	-
chr1	1778831	1778844	-
chr1	1779014	1779027	-
chr1	1782908	1782921	+
chr1	1782927	1782940	+
chr1	1782929	1782942	-
chr1	1847252	1847265	+
chr1	1858735	1858748	-
chr1	1858786	1858799	+
chr1	1859458	1859471	+
chr1	1873268	1873281	-
chr1	1873463	1873476	+
chr1	1892778	1892791	+
chr1	1906406	1906419	-
chr1	1906409	1906422	-
chr1	1909175	1909188	+
chr1	1909330	1909343	+
chr1	1918899	1918912	-
chr1	1918947	1918960	-
chr1	1918951	1918964	+
chr1	1919083	1919096	-
chr1	1919138	1919151	-
chr1	1919315	1919328	-
chr1	1919317	1919330	+
chr1	1919333	1919346	+
chr1	1919641	1919654	-
chr1	1928404	1928417	-
chr1	1960207	1960220	+
chr1	1960218	1960231	+
chr1	2002019	2002032	-
chr1	2002078	2002091	-
chr1	2046639	2046652	-
chr1	2046690	2046703	-
chr1	2046710	2046723	+
chr1	2046734	2046747	+
chr1	2049444	2049457	+
chr1	2049592	2049605	-
chr1	2049593	2049606	+
chr1	2049615	2049628	+
chr1	2049651	2049664	+
chr1	2050026	2050039	+
chr1	2050336	2050349	+
chr1	2050345	2050358	-
chr1	2050456	2050469	-
chr1	2072354	2072367	+
chr1	2072357	2072370	+
chr1	2072421	2072434	+
chr1	2082123	2082136	+
chr1	2082415	2082428	+
chr1	2133075	2133088	-
chr1	2133237	2133250	-
chr1	2133301	2133314	-
chr1	2133332	2133345	-
chr1	2133366	2133379	-
chr1	2133397	2133410	-
chr1	2133460	2133473	-
chr1	2133478	2133491	-
chr1	2133515	2133528	-
chr1	2133592	2133605	-
chr1	2133623	2133636	-
chr1	2133654	2133667	-
chr1	2174372	2174385	-
chr1	2174373	2174386	+
chr1	2174459	2174472	-
chr1	2174498	2174511	-
chr1	2189440	2189453	+
chr1	2189462	2189475	-
chr1	2190135	2190148	+
chr1	2190174	2190187	+
chr1	2195067	2195080	-
chr1	2195350	2195363	-
chr1	2195351	2195364	+
chr1	2195376	2195389	-
chr1	2195452	2195465	-
chr1	2198748	2198761	-
chr1	2198822	2198835	-
chr1	2199324	2199337	+
chr1	2205211	2205224	-
chr1	2208310	2208323	-
chr1	2208370	2208383	-
chr1	2208493	2208506	+
chr1	2208522	2208535	+
chr1	2227702	2227715	-
chr1	2227960	2227973	+
